"time","CIF","lower","upper","group","interval"
0,0,0,0,"expectant","0–8"
1,0,0,0,"expectant","0–8"
2,0,0,0,"expectant","0–8"
3,0,0,0,"expectant","0–8"
4,0,0,0,"expectant","0–8"
5,0,0,0,"expectant","0–8"
6,0,0,0,"expectant","0–8"
7,0,0,0,"expectant","0–8"
8,0,0,0,"expectant","0–8"
9,0.00254127010683758,0.00190672916419251,0.00334263859836508,"expectant","0–8"
10,0.00551840769155441,0.00452006421394698,0.00668774252251517,"expectant","0–8"
11,0.00842882894713838,0.00711917676739965,0.00992202461965502,"expectant","0–8"
12,0.0125377947843547,0.0108789876586156,0.0143853072868787,"expectant","0–8"
13,0.0164378479907795,0.014447702067202,0.0186287695086061,"expectant","0–8"
14,0.0203670143536426,0.018087735739455,0.0228531457060408,"expectant","0–8"
15,0.0256700488544234,0.0230386632108795,0.028513392786417,"expectant","0–8"
16,0.030576603313758,0.027628497468189,0.0337425032724282,"expectant","0–8"
17,0.0361219567048418,0.0328523723922813,0.0396124115332528,"expectant","0–8"
18,0.0420865284955921,0.038471405923112,0.0459275053505056,"expectant","0–8"
19,0.046758706970062,0.0429086191042603,0.0508349075692808,"expectant","0–8"
20,0.0523201934133133,0.0481805353297442,0.0566883906994975,"expectant","0–8"
21,0.0563017580990939,0.0519742890913994,0.0608577566264391,"expectant","0–8"
22,0.060127708810564,0.0556204937753668,0.064863718607538,"expectant","0–8"
23,0.0648250958330963,0.0600727168949692,0.069809389528053,"expectant","0–8"
24,0.0691214475487146,0.0641893352473411,0.0742841283290532,"expectant","0–8"
25,0.0733720756769307,0.0682601222512575,0.0787137834874172,"expectant","0–8"
26,0.0771817574171537,0.0719202758285734,0.0826714362277155,"expectant","0–8"
27,0.0792927332574523,0.0739424843693578,0.0848709287007345,"expectant","0–8"
28,0.0823614085284841,0.0768914753043495,0.0880582034486125,"expectant","0–8"
29,0.0854534200614382,0.079871219082479,0.0912608162601632,"expectant","0–8"
30,0.0885554164732521,0.0828573045439316,0.0944774464720769,"expectant","0–8"
31,0.0909417723609773,0.0851586001186328,0.0969476260769459,"expectant","0–8"
32,0.0933165602953515,0.0874386217214774,0.0994167932508484,"expectant","0–8"
33,0.0956841048881231,0.0897175308278882,0.101872173192071,"expectant","0–8"
34,0.0981268719332053,0.0920560740731911,0.10441932826415,"expectant","0–8"
35,0.100887533321733,0.094712235621964,0.107283709558877,"expectant","0–8"
36,0.104031401262899,0.0977503495190895,0.110531545409895,"expectant","0–8"
37,0.107179053005833,0.100778505458797,0.11379793100848,"expectant","0–8"
38,0.109859410481422,0.103347503402349,0.116589675959068,"expectant","0–8"
39,0.113243275339266,0.10661991286172,0.120083080284499,"expectant","0–8"
40,0.116468257576797,0.109743423842221,0.123407467033309,"expectant","0–8"
41,0.118350765362562,0.111558805074139,0.125356432796173,"expectant","0–8"
42,0.120615317244909,0.113748797172823,0.127694361951496,"expectant","0–8"
43,0.122333809179047,0.115395007466859,0.12948522931714,"expectant","0–8"
44,0.124443200988558,0.117425702113164,0.131672803685662,"expectant","0–8"
45,0.126089811682221,0.119010261304559,0.133381101791229,"expectant","0–8"
46,0.128046752993343,0.120901555041298,0.135402770603986,"expectant","0–8"
47,0.129929704580648,0.12272348750285,0.137345738185183,"expectant","0–8"
48,0.13110904210364,0.123860701929078,0.138566805124826,"expectant","0–8"
49,0.132291798294612,0.124989117371775,0.139804211903227,"expectant","0–8"
50,0.133315731006986,0.125979295887713,0.140861389570653,"expectant","0–8"
51,0.13473672255114,0.127356097343212,0.142325716180253,"expectant","0–8"
52,0.135367637004726,0.127940068028123,0.143004757922622,"expectant","0–8"
53,0.136475362379125,0.129011089586967,0.144148643441282,"expectant","0–8"
54,0.137269987128909,0.129783882389431,0.144964457376582,"expectant","0–8"
55,0.138072870700974,0.130566268104374,0.145787105702776,"expectant","0–8"
56,0.13864019284527,0.131121693631709,0.146365664946627,"expectant","0–8"
57,0.139129549558013,0.131600425156589,0.146865101187233,"expectant","0–8"
58,0.139539764397241,0.132000664334901,0.1472848954971,"expectant","0–8"
59,0.140032275834902,0.132480978394474,0.147789142653124,"expectant","0–8"
60,0.140527230790955,0.132965012695458,0.148294482697176,"expectant","0–8"
61,0.141281046638172,0.133703534291515,0.149062708773033,"expectant","0–8"
62,0.141365869914018,0.13378661294261,0.149149178900043,"expectant","0–8"
63,0.141707511445502,0.13412178057095,0.149496871256623,"expectant","0–8"
64,0.142053390653971,0.134461573010229,0.149848385045834,"expectant","0–8"
65,0.142315339463026,0.134718486110282,0.150115051257553,"expectant","0–8"
66,0.142491371935898,0.134891766422771,0.150293588301429,"expectant","0–8"
67,0.142491371935898,0.134891766422771,0.150293588301429,"expectant","0–8"
68,0.14266840289948,0.13506555852655,0.150473635037063,"expectant","0–8"
69,0.142756210242772,0.135152405853375,0.150562257039143,"expectant","0–8"
70,0.142756210242772,0.135152405853375,0.150562257039143,"expectant","0–8"
71,0.142844554514435,0.135240074665686,0.150651115035831,"expectant","0–8"
72,0.142844554514435,0.135240074665686,0.150651115035831,"expectant","0–8"
73,0.142844554514435,0.135240074665686,0.150651115035831,"expectant","0–8"
74,0.143289072947841,0.135670942215825,0.151109023517807,"expectant","0–8"
75,0.143289072947841,0.135670942215825,0.151109023517807,"expectant","0–8"
76,0.143470633553634,0.135850039480521,0.151292774175485,"expectant","0–8"
77,0.143561955056245,0.135940132865961,0.151385185967505,"expectant","0–8"
78,0.143561955056245,0.135940132865961,0.151385185967505,"expectant","0–8"
79,0.143561955056245,0.135940132865961,0.151385185967505,"expectant","0–8"
80,0.143561955056245,0.135940132865961,0.151385185967505,"expectant","0–8"
81,0.143743215967217,0.13611221450586,0.151575713661913,"expectant","0–8"
82,0.143743215967217,0.13611221450586,0.151575713661913,"expectant","0–8"
83,0.143832911414342,0.13619923523875,0.15166802710421,"expectant","0–8"
84,0.143832911414342,0.13619923523875,0.15166802710421,"expectant","0–8"
85,0.143924107483836,0.136289414168218,0.151760091686741,"expectant","0–8"
86,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
87,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
88,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
89,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
90,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
91,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
92,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
93,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
94,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
95,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
96,0.144016505228432,0.136379992670296,0.151854200366994,"expectant","0–8"
97,0.144104998647926,0.136466758383484,0.151944317070159,"expectant","0–8"
98,0.144378653200969,0.136736182576683,0.152221820422755,"expectant","0–8"
99,0.144378653200969,0.136736182576683,0.152221820422755,"expectant","0–8"
100,0.144378653200969,0.136736182576683,0.152221820422755,"expectant","0–8"
101,0.144378653200969,0.136736182576683,0.152221820422755,"expectant","0–8"
102,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
103,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
104,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
105,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
106,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
107,0.144470998329405,0.136827017088133,0.152315552083594,"expectant","0–8"
108,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
109,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
110,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
111,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
112,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
113,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
114,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
115,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
116,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
117,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
118,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
119,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
120,0.144557023086145,0.1369106169429,0.15240394034253,"expectant","0–8"
0,0,0,0,"induced","0–8"
1,0,0,0,"induced","0–8"
2,0,0,0,"induced","0–8"
3,0,0,0,"induced","0–8"
4,0,0,0,"induced","0–8"
5,0,0,0,"induced","0–8"
6,0,0,0,"induced","0–8"
7,0,0,0,"induced","0–8"
8,0,0,0,"induced","0–8"
9,0.018623195421811,0.013608871359696,0.0249081383229009,"induced","0–8"
10,0.037899499786051,0.0300702813756365,0.0470428067141319,"induced","0–8"
11,0.0546835448511282,0.0449288391659954,0.0657331343439858,"induced","0–8"
12,0.0751968897355919,0.0630181778744575,0.0887215942110512,"induced","0–8"
13,0.0920977432143386,0.078057717530563,0.107503682291711,"induced","0–8"
14,0.106444091143008,0.0908537829783552,0.123412397821336,"induced","0–8"
15,0.122970980346707,0.105589007571012,0.141742565949986,"induced","0–8"
16,0.135781575274115,0.116945781761426,0.156021324952281,"induced","0–8"
17,0.147795964680325,0.127596192814135,0.169407116371314,"induced","0–8"
18,0.15844920618391,0.137066703792615,0.181240633398215,"induced","0–8"
19,0.165147029556572,0.142977548331357,0.188727070282942,"induced","0–8"
20,0.171749589660507,0.148824907379962,0.196081421469309,"induced","0–8"
21,0.17566357395841,0.15229794351997,0.200432434908581,"induced","0–8"
22,0.178775652744455,0.155044258407707,0.203908459823925,"induced","0–8"
23,0.181914698858596,0.157805107773322,0.207424413345868,"induced","0–8"
24,0.184308380539754,0.159909290717837,0.210106330087585,"induced","0–8"
25,0.186281405087211,0.161652397505937,0.212306941023273,"induced","0–8"
26,0.187728962223934,0.162929507258114,0.213923296774359,"induced","0–8"
27,0.188402576381442,0.163522791960345,0.214676547565822,"induced","0–8"
28,0.189223628250364,0.1642432629062,0.21559760492373,"induced","0–8"
29,0.189917386410933,0.164852137946823,0.216375713388696,"induced","0–8"
30,0.19048593468654,0.165348822301633,0.217015927922762,"induced","0–8"
31,0.190844284156834,0.16566256013592,0.217418674764026,"induced","0–8"
32,0.19112969085666,0.165911152875556,0.217740864436047,"induced","0–8"
33,0.191352210575579,0.166104475239109,0.217992609404091,"induced","0–8"
34,0.191531494312519,0.166259419628179,0.21819634473052,"induced","0–8"
35,0.191684054186538,0.166390847480785,0.218370177777661,"induced","0–8"
36,0.19181368061701,0.166502763449446,0.218517605269842,"induced","0–8"
37,0.191906758423074,0.166582957029047,0.218623650451208,"induced","0–8"
38,0.191965914763228,0.166634019441636,0.218690942445446,"induced","0–8"
39,0.192017460573984,0.166678719065212,0.218749347179197,"induced","0–8"
40,0.19205108947157,0.166708050727879,0.218787262337926,"induced","0–8"
41,0.192064494793617,0.166719734386163,0.218802385908967,"induced","0–8"
42,0.192075403439902,0.166729243409378,0.218814691232436,"induced","0–8"
43,0.192081181872649,0.166734271167795,0.218821219826041,"induced","0–8"
44,0.192086289415452,0.166738745085864,0.218826957152833,"induced","0–8"
45,0.192089056508798,0.166741185746407,0.218830046690378,"induced","0–8"
46,0.192091214789473,0.166743097191975,0.218832447814358,"induced","0–8"
47,0.192092641172337,0.166744374251442,0.218834019319103,"induced","0–8"
48,0.192093253748265,0.16674492636389,0.218834690139135,"induced","0–8"
49,0.192093651971179,0.166745283332317,0.218835128394358,"induced","0–8"
50,0.192093887406925,0.166745496498979,0.218835385136452,"induced","0–8"
51,0.192094083531541,0.166745674596366,0.218835598427033,"induced","0–8"
52,0.192094144380666,0.166745729335072,0.218835665177937,"induced","0–8"
53,0.192094215992092,0.166745795293454,0.218835742022719,"induced","0–8"
54,0.192094252243332,0.166745829254043,0.218835780287501,"induced","0–8"
55,0.192094277507534,0.166745853153115,0.218835806697529,"induced","0–8"
56,0.192094289878721,0.166745864973185,0.218835819499159,"induced","0–8"
57,0.192094297347443,0.166745872129254,0.218835827205407,"induced","0–8"
58,0.192094301891027,0.166745876506337,0.218835831867108,"induced","0–8"
59,0.192094305614983,0.166745880100424,0.218835835680528,"induced","0–8"
60,0.192094308216964,0.166745882636342,0.218835838317547,"induced","0–8"
61,0.192094310904992,0.166745885302676,0.218835840989949,"induced","0–8"
62,0.19209431111788,0.166745885516442,0.218835841198709,"induced","0–8"
63,0.192094311761299,0.166745886163086,0.218835841829016,"induced","0–8"
64,0.192094312262741,0.16674588667378,0.218835842312739,"induced","0–8"
65,0.192094312548037,0.166745886967315,0.218835842584641,"induced","0–8"
