"time","event","prob","method","cif_lower","cif_upper","clone"
0,"Overall survival",1,"No weights",1,1,"window_0_8"
0,"Vaginal delivery",0,"No weights",0,0,"window_0_8"
0,"Other modes",0,"No weights",0,0,"window_0_8"
0.5,"Overall survival",0.998262380538662,"No weights",0.997482261801332,0.998913987836664,"window_0_8"
0.5,"Vaginal delivery",0.00173761946133797,"No weights",0.00108601216333623,0.00251773819866783,"window_0_8"
0.5,"Other modes",0,"No weights",0,0,"window_0_8"
1,"Overall survival",0.995728352157544,"No weights",0.994441427743991,0.996926585577758,"window_0_8"
1,"Vaginal delivery",0.00405444540978859,"No weights",0.00283992180712424,0.0052526788300029,"window_0_8"
1,"Other modes",0.000217202432667246,"No weights",0,0.000506805676223574,"window_0_8"
1.5,"Overall survival",0.992325514045757,"No weights",0.990966188821315,0.99370112945265,"window_0_8"
1.5,"Vaginal delivery",0.00745728352157544,"No weights",0.00604184766869389,0.00868809730668983,"window_0_8"
1.5,"Other modes",0.000217202432667246,"No weights",0,0.000506805676223574,"window_0_8"
2,"Overall survival",0.987909064581523,"No weights",0.985970532869968,0.989646684042861,"window_0_8"
2,"Vaginal delivery",0.0116565305531422,"No weights",0.00977410947002605,0.0135063712713582,"window_0_8"
2,"Other modes",0.000434404865334492,"No weights",0.000144801621778164,0.000924920359108022,"window_0_8"
2.5,"Overall survival",0.982985809441065,"No weights",0.980846365479293,0.985069142774399,"window_0_8"
2.5,"Vaginal delivery",0.0162901824500434,"No weights",0.0142792499275992,0.0182450043440486,"window_0_8"
2.5,"Other modes",0.000724008108890819,"No weights",0.000289603243556328,0.00130321459600348,"window_0_8"
3,"Overall survival",0.977410947002606,"No weights",0.974837098175499,0.979727772951058,"window_0_8"
3,"Vaginal delivery",0.0215754416449464,"No weights",0.0192749058789458,0.0241891109180422,"window_0_8"
3,"Other modes",0.00101361135244715,"No weights",0.000506805676223574,0.00166521865044888,"window_0_8"
3.5,"Overall survival",0.970388068346365,"No weights",0.967195192586156,0.972978207355922,"window_0_8"
3.5,"Vaginal delivery",0.0280915146249638,"No weights",0.025646177237185,0.0313730813785114,"window_0_8"
3.5,"Other modes",0.00152041702867072,"No weights",0.000941210541558065,0.0022281349551115,"window_0_8"
4,"Overall survival",0.961193165363452,"No weights",0.957589415001447,0.964257529684333,"window_0_8"
4,"Vaginal delivery",0.0367796119316536,"No weights",0.033593976252534,0.0402385606718795,"window_0_8"
4,"Other modes",0.00202722270489429,"No weights",0.00137561540689256,0.0028236316246742,"window_0_8"
4.5,"Overall survival",0.95185346075876,"No weights",0.948305821025195,0.955328699681437,"window_0_8"
4.5,"Vaginal delivery",0.0456125108601216,"No weights",0.0419924703156675,0.0492886620330148,"window_0_8"
4.5,"Other modes",0.00253402838111787,"No weights",0.00173761946133797,0.00340283811178685,"window_0_8"
5,"Overall survival",0.941789748045178,"No weights",0.937550680567622,0.945683101650738,"window_0_8"
5,"Vaginal delivery",0.0549522154648133,"No weights",0.0509140602374747,0.0588292788879236,"window_0_8"
5,"Other modes",0.00325803649000869,"No weights",0.0023892267593397,0.00425535766000579,"window_0_8"
5.5,"Overall survival",0.930060816681147,"No weights",0.925347523892268,0.93447726614538,"window_0_8"
5.5,"Vaginal delivery",0.0658123370981756,"No weights",0.0615569794381697,0.0703572980017377,"window_0_8"
5.5,"Other modes",0.00412684622067767,"No weights",0.00312952505068057,0.00512416739067477,"window_0_8"
6,"Overall survival",0.916521865044888,"No weights",0.912049304952214,0.921227917752679,"window_0_8"
6,"Vaginal delivery",0.0788444830582103,"No weights",0.073986388647553,0.0833568635968724,"window_0_8"
6,"Other modes",0.00463365189690124,"No weights",0.00354763973356501,0.00579206487112655,"window_0_8"
6.5,"Overall survival",0.90131769475818,"No weights",0.896226107732407,0.90689255719664,"window_0_8"
6.5,"Vaginal delivery",0.0931798436142486,"No weights",0.0877660729800175,0.0980306979438171,"window_0_8"
6.5,"Other modes",0.00550246162757022,"No weights",0.004376629018245,0.00678938604112365,"window_0_8"
7,"Overall survival",0.885679119606139,"No weights",0.880989357080798,0.891655806545033,"window_0_8"
7,"Vaginal delivery",0.107732406602954,"No weights",0.101732189400521,0.112380538662033,"window_0_8"
7,"Other modes",0.00658847379090645,"No weights",0.00535766000579206,0.00789168838690993,"window_0_8"
7.5,"Overall survival",0.869461337966984,"No weights",0.864474732117,0.875638937156096,"window_0_8"
7.5,"Vaginal delivery",0.12300897770055,"No weights",0.11679155806545,0.128004633651897,"window_0_8"
7.5,"Other modes",0.00752968433246451,"No weights",0.00629887054735012,0.00881660874601794,"window_0_8"
8,"Overall survival",0.851578337677381,"No weights",0.845996235157834,0.858423834346944,"window_0_8"
8,"Vaginal delivery",0.13879235447437,"No weights",0.132212930784825,0.143988922675934,"window_0_8"
8,"Other modes",0.00962930784824789,"No weights",0.0081975818129163,0.0113343469446858,"window_0_8"
8.5,"Overall survival",0.775902746641811,"No weights",0.760409033028823,0.792221191154181,"window_0_8"
8.5,"Vaginal delivery",0.200791633877006,"No weights",0.184445896218168,0.214677192750982,"window_0_8"
8.5,"Other modes",0.0233056194811823,"No weights",0.0164865314150207,0.030415187912983,"window_0_8"
9,"Overall survival",0.714815221348037,"No weights",0.696554807645303,0.734590764318262,"window_0_8"
9,"Vaginal delivery",0.25002635575557,"No weights",0.231496337666691,0.267819395558769,"window_0_8"
9,"Other modes",0.0351584228963921,"No weights",0.0250705862702748,0.0456960577847033,"window_0_8"
9.5,"Overall survival",0.647345417292228,"No weights",0.624757427792541,0.66787200745725,"window_0_8"
9.5,"Vaginal delivery",0.304731602287308,"No weights",0.284177005420493,0.326060794860854,"window_0_8"
9.5,"Other modes",0.0479229804204642,"No weights",0.0375870797562829,0.0610968506114707,"window_0_8"
10,"Overall survival",0.589904908433903,"No weights",0.56396302248623,0.614997728726888,"window_0_8"
10,"Vaginal delivery",0.351231061839285,"No weights",0.328019534026066,0.372372004845325,"window_0_8"
10,"Other modes",0.0588640297268117,"No weights",0.047394578669514,0.0715461831128963,"window_0_8"
10.5,"Overall survival",0.542493694773064,"No weights",0.518241978435524,0.569066057106974,"window_0_8"
10.5,"Vaginal delivery",0.391348242629226,"No weights",0.364449950118662,0.414591651936579,"window_0_8"
10.5,"Other modes",0.0661580625977101,"No weights",0.0530107685889852,0.0822271237676458,"window_0_8"
11,"Overall survival",0.503288268091986,"No weights",0.478485039750752,0.529887694079123,"window_0_8"
11,"Vaginal delivery",0.426906652874856,"No weights",0.399216034093502,0.452482327775686,"window_0_8"
11,"Other modes",0.0698050790331592,"No weights",0.0557649709441007,0.0868137765346713,"window_0_8"
11.5,"Overall survival",0.452230037995697,"No weights",0.424204966569187,0.479257315474008,"window_0_8"
11.5,"Vaginal delivery",0.468847341882521,"No weights",0.441948352182271,0.494184354697053,"window_0_8"
11.5,"Other modes",0.0789226201217822,"No weights",0.0647198990769932,0.0937468865382895,"window_0_8"
12,"Overall survival",0.412112857205756,"No weights",0.386468254874946,0.436888014520499,"window_0_8"
12,"Vaginal delivery",0.492552948712941,"No weights",0.467733203251423,0.516085209264285,"window_0_8"
12,"Other modes",0.0953341940813035,"No weights",0.0788982459034617,0.111806193697358,"window_0_8"
12.5,"Overall survival",0.37381918463354,"No weights",0.347660434525001,0.400483692878643,"window_0_8"
12.5,"Vaginal delivery",0.522640834305396,"No weights",0.497847685396173,0.546495427884653,"window_0_8"
12.5,"Other modes",0.103539981061064,"No weights",0.0868172901345607,0.121187867717417,"window_0_8"
13,"Overall survival",0.334613757952461,"No weights",0.309218972426141,0.360609741254321,"window_0_8"
13,"Vaginal delivery",0.555463982224438,"No weights",0.528883966096746,0.581304575635256,"window_0_8"
13,"Other modes",0.1099222598231,"No weights",0.0924847752391284,0.129126317242387,"window_0_8"
13.5,"Overall survival",0.301790610033419,"No weights",0.27431269566129,0.326448540777456,"window_0_8"
13.5,"Vaginal delivery",0.580993097272581,"No weights",0.555020860586498,0.608899395912664,"window_0_8"
13.5,"Other modes",0.117216292693999,"No weights",0.0990330739810953,0.136502808773076,"window_0_8"
14,"Overall survival",0.275349740876412,"No weights",0.251286677145312,0.301121076215385,"window_0_8"
14,"Vaginal delivery",0.601051687667551,"No weights",0.573773415081738,0.627503969810553,"window_0_8"
14,"Other modes",0.123598571456035,"No weights",0.105367816074257,0.144482979270179,"window_0_8"
14.5,"Overall survival",0.248908871719406,"No weights",0.221974082684072,0.272255675754309,"window_0_8"
14.5,"Vaginal delivery",0.622022032171383,"No weights",0.595249977246313,0.647215278135464,"window_0_8"
14.5,"Other modes",0.129069096109208,"No weights",0.111499196795671,0.149440864269461,"window_0_8"
15,"Overall survival",0.219732740235812,"No weights",0.194806905583543,0.241809878208526,"window_0_8"
15,"Vaginal delivery",0.639345360239766,"No weights",0.61368023672447,0.665590587556212,"window_0_8"
15,"Other modes",0.140921899524418,"No weights",0.123393805975408,0.160748166696949,"window_0_8"
15.5,"Overall survival",0.195115379296531,"No weights",0.172232561110203,0.217122928821259,"window_0_8"
15.5,"Vaginal delivery",0.658492196525874,"No weights",0.632635640906165,0.683098982403955,"window_0_8"
15.5,"Other modes",0.146392424177592,"No weights",0.128380213771319,0.165531166492574,"window_0_8"
