"time","event","prob","method","cif_lower","cif_upper","clone"
0,"Overall survival",1,"No weights",1,1,"strategy_1"
0,"Vaginal delivery",0,"No weights",0,0,"strategy_1"
0,"Other modes",0,"No weights",0,0,"strategy_1"
0.5,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
0.5,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
0.5,"Other modes",0,"No weights",0,0,"strategy_1"
1,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
1,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
1,"Other modes",0,"No weights",0,0,"strategy_1"
1.5,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
1.5,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
1.5,"Other modes",0,"No weights",0,0,"strategy_1"
2,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
2,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
2,"Other modes",0,"No weights",0,0,"strategy_1"
2.5,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
2.5,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
2.5,"Other modes",0,"No weights",0,0,"strategy_1"
3,"Overall survival",0.999926329748048,"No weights",0.999705665930832,1,"strategy_1"
3,"Vaginal delivery",7.36702519522617e-05,"No weights",0,0.000294334069168506,"strategy_1"
3,"Other modes",0,"No weights",0,0,"strategy_1"
3.5,"Overall survival",0.999767855813917,"No weights",0.999462246134111,1,"strategy_1"
3.5,"Vaginal delivery",0.000232144186083009,"No weights",0,0.000537753865889459,"strategy_1"
3.5,"Other modes",0,"No weights",0,0,"strategy_1"
4,"Overall survival",0.999526316582696,"No weights",0.999077973133436,0.999840843974551,"strategy_1"
4,"Vaginal delivery",0.00047368341730425,"No weights",0.000159156025449038,0.000922026866563808,"strategy_1"
4,"Other modes",0,"No weights",0,0,"strategy_1"
4.5,"Overall survival",0.999526316582696,"No weights",0.999077973133436,0.999840843974551,"strategy_1"
4.5,"Vaginal delivery",0.00047368341730425,"No weights",0.000159156025449038,0.000922026866563808,"strategy_1"
4.5,"Other modes",0,"No weights",0,0,"strategy_1"
5,"Overall survival",0.999526316582696,"No weights",0.999077973133436,0.999840843974551,"strategy_1"
5,"Vaginal delivery",0.00047368341730425,"No weights",0.000159156025449038,0.000922026866563808,"strategy_1"
5,"Other modes",0,"No weights",0,0,"strategy_1"
5.5,"Overall survival",0.999526316582696,"No weights",0.999077973133436,0.999840843974551,"strategy_1"
5.5,"Vaginal delivery",0.00047368341730425,"No weights",0.000159156025449038,0.000922026866563808,"strategy_1"
5.5,"Other modes",0,"No weights",0,0,"strategy_1"
6,"Overall survival",0.999262351946276,"No weights",0.998780149924502,0.999728815016878,"strategy_1"
6,"Vaginal delivery",0.000737648053724202,"No weights",0.000271184983121891,0.00121985007549798,"strategy_1"
6,"Other modes",0,"No weights",0,0,"strategy_1"
6.5,"Overall survival",0.999079575734065,"No weights",0.998512761148028,0.999564573853201,"strategy_1"
6.5,"Vaginal delivery",0.000920424265934857,"No weights",0.000435426146799124,0.00148723885197171,"strategy_1"
6.5,"Other modes",0,"No weights",0,0,"strategy_1"
7,"Overall survival",0.999079575734065,"No weights",0.998512761148028,0.999564573853201,"strategy_1"
7,"Vaginal delivery",0.000920424265934857,"No weights",0.000435426146799124,0.00148723885197171,"strategy_1"
7,"Other modes",0,"No weights",0,0,"strategy_1"
7.5,"Overall survival",0.998982709380009,"No weights",0.998355669242711,0.999501917312558,"strategy_1"
