"time","event","prob","method","cif_lower","cif_upper","clone"
0,"Overall survival",1,"No weights",1,1,"window_0_8"
0,"Vaginal delivery",0,"No weights",0,0,"window_0_8"
0,"Other modes",0,"No weights",0,0,"window_0_8"
0.5,"Overall survival",0.998262380538662,"No weights",0.997409860990443,0.998897697654214,"window_0_8"
0.5,"Vaginal delivery",0.00173761946133797,"No weights",0.00110230234578627,0.00259013900955691,"window_0_8"
0.5,"Other modes",0,"No weights",0,0,"window_0_8"
1,"Overall survival",0.995728352157544,"No weights",0.994714740805097,0.99681436432088,"window_0_8"
1,"Vaginal delivery",0.00405444540978859,"No weights",0.00304083405734144,0.00514045757312482,"window_0_8"
1,"Other modes",0.000217202432667246,"No weights",0,0.000506805676223574,"window_0_8"
1.5,"Overall survival",0.992325514045757,"No weights",0.991022299449754,0.993628728641761,"window_0_8"
1.5,"Vaginal delivery",0.00745728352157544,"No weights",0.00615406892557196,0.00868809730668983,"window_0_8"
1.5,"Other modes",0.000217202432667246,"No weights",0,0.000506805676223574,"window_0_8"
2,"Overall survival",0.987909064581523,"No weights",0.986147914856647,0.989485592238633,"window_0_8"
2,"Vaginal delivery",0.0116565305531422,"No weights",0.0100800028960324,0.0131045467709238,"window_0_8"
2,"Other modes",0.000434404865334492,"No weights",0.000144801621778164,0.000796408919779902,"window_0_8"
2.5,"Overall survival",0.982985809441065,"No weights",0.980958586736171,0.98492434115262,"window_0_8"
2.5,"Vaginal delivery",0.0162901824500434,"No weights",0.0144077613669273,0.0183174051549377,"window_0_8"
2.5,"Other modes",0.000724008108890819,"No weights",0.00036200405444541,0.00123081378511439,"window_0_8"
3,"Overall survival",0.977410947002606,"No weights",0.974949319432378,0.979639081957718,"window_0_8"
3,"Vaginal delivery",0.0215754416449464,"No weights",0.0194034173182739,0.0237311757891688,"window_0_8"
3,"Other modes",0.00101361135244715,"No weights",0.000506805676223574,0.0015928178395598,"window_0_8"
3.5,"Overall survival",0.970388068346365,"No weights",0.967508326093252,0.97321169997104,"window_0_8"
3.5,"Vaginal delivery",0.0280915146249638,"No weights",0.0253004633651897,0.0309875470605271,"window_0_8"
3.5,"Other modes",0.00152041702867072,"No weights",0.000941210541558065,0.00224442513756154,"window_0_8"
4,"Overall survival",0.961193165363452,"No weights",0.957822907616565,0.963871995366348,"window_0_8"
4,"Vaginal delivery",0.0367796119316536,"No weights",0.0340446713003185,0.0400774688676513,"window_0_8"
4,"Other modes",0.00202722270489429,"No weights",0.00130321459600347,0.00280734144222415,"window_0_8"
4.5,"Overall survival",0.95185346075876,"No weights",0.948322111207645,0.955529611931654,"window_0_8"
4.5,"Vaginal delivery",0.0456125108601216,"No weights",0.0420250506805676,0.0489990587894585,"window_0_8"
4.5,"Other modes",0.00253402838111787,"No weights",0.00175390964378801,0.00333043730089777,"window_0_8"
5,"Overall survival",0.941789748045178,"No weights",0.938314509122502,0.945972704894295,"window_0_8"
5,"Vaginal delivery",0.0549522154648133,"No weights",0.051107732406603,0.0583948740225891,"window_0_8"
5,"Other modes",0.00325803649000869,"No weights",0.00240551694178975,0.00412684622067767,"window_0_8"
5.5,"Overall survival",0.930060816681147,"No weights",0.925588256588475,0.934388575152042,"window_0_8"
5.5,"Vaginal delivery",0.0658123370981756,"No weights",0.0618465826817261,0.0700514045757313,"window_0_8"
5.5,"Other modes",0.00412684622067767,"No weights",0.00325803649000869,0.00512416739067477,"window_0_8"
6,"Overall survival",0.916521865044888,"No weights",0.912210396756443,0.920938314509123,"window_0_8"
6,"Vaginal delivery",0.0788444830582103,"No weights",0.07415472053287,0.0832844627859833,"window_0_8"
6,"Other modes",0.00463365189690124,"No weights",0.00376484216623226,0.00579206487112655,"window_0_8"
6.5,"Overall survival",0.90131769475818,"No weights",0.896555531421952,0.906280770344628,"window_0_8"
6.5,"Vaginal delivery",0.0931798436142486,"No weights",0.0884176802780192,0.0980705183898061,"window_0_8"
6.5,"Other modes",0.00550246162757022,"No weights",0.004376629018245,0.00677309585867361,"window_0_8"
7,"Overall survival",0.885679119606139,"No weights",0.880554952215464,0.890899218071242,"window_0_8"
7,"Vaginal delivery",0.107732406602954,"No weights",0.102608239212279,0.112856573993629,"window_0_8"
7,"Other modes",0.00658847379090645,"No weights",0.00543006081668114,0.00789168838690993,"window_0_8"
7.5,"Overall survival",0.869461337966984,"No weights",0.864047567332755,0.875003620040544,"window_0_8"
7.5,"Vaginal delivery",0.12300897770055,"No weights",0.117314653924124,0.128116854908775,"window_0_8"
7.5,"Other modes",0.00752968433246451,"No weights",0.00637127135823921,0.00910621198957427,"window_0_8"
8,"Overall survival",0.851578337677381,"No weights",0.845657761366927,0.857265421372719,"window_0_8"
8,"Vaginal delivery",0.13879235447437,"No weights",0.133315233130611,0.14435092673038,"window_0_8"
8,"Other modes",0.00962930784824789,"No weights",0.00825369244135533,0.0112221256878077,"window_0_8"
8.5,"Overall survival",0.775902746641811,"No weights",0.760676663930353,0.793384755867127,"window_0_8"
8.5,"Vaginal delivery",0.200791633877006,"No weights",0.184627482894905,0.215601093084508,"window_0_8"
8.5,"Other modes",0.0233056194811823,"No weights",0.0164197391678663,0.0295600618534371,"window_0_8"
9,"Overall survival",0.714815221348037,"No weights",0.695304162641652,0.734467565598759,"window_0_8"
9,"Vaginal delivery",0.25002635575557,"No weights",0.230452466130407,0.268077124470337,"window_0_8"
9,"Other modes",0.0351584228963921,"No weights",0.0254516773449884,0.0454892347887153,"window_0_8"
9.5,"Overall survival",0.647345417292228,"No weights",0.622028622899036,0.671293791652085,"window_0_8"
9.5,"Vaginal delivery",0.304731602287308,"No weights",0.283640941572213,0.328249459005583,"window_0_8"
9.5,"Other modes",0.0479229804204642,"No weights",0.036833563872123,0.0596173156672991,"window_0_8"
10,"Overall survival",0.589904908433903,"No weights",0.565458648289768,0.616416325091258,"window_0_8"
10,"Vaginal delivery",0.351231061839285,"No weights",0.328084465517948,0.374813785542194,"window_0_8"
10,"Other modes",0.0588640297268117,"No weights",0.0466497181161238,0.0725740973980565,"window_0_8"
10.5,"Overall survival",0.542493694773064,"No weights",0.516113917676292,0.569591479089916,"window_0_8"
10.5,"Vaginal delivery",0.391348242629226,"No weights",0.36536201639441,0.417039499665363,"window_0_8"
10.5,"Other modes",0.0661580625977101,"No weights",0.0544848203934232,0.0801511643929249,"window_0_8"
11,"Overall survival",0.503288268091986,"No weights",0.47868933315191,0.530758701104259,"window_0_8"
11,"Vaginal delivery",0.426906652874856,"No weights",0.400251088225002,0.451973378883164,"window_0_8"
11,"Other modes",0.0698050790331592,"No weights",0.0579297963555487,0.0850798937391082,"window_0_8"
11.5,"Overall survival",0.452230037995697,"No weights",0.425639798676934,0.480252948418944,"window_0_8"
11.5,"Vaginal delivery",0.468847341882521,"No weights",0.441502051380766,0.496284473962574,"window_0_8"
11.5,"Other modes",0.0789226201217822,"No weights",0.0639020383473224,0.0960583197575354,"window_0_8"
12,"Overall survival",0.412112857205756,"No weights",0.387974557870072,0.439303347295771,"window_0_8"
12,"Vaginal delivery",0.492552948712941,"No weights",0.465121116973967,0.518024252774787,"window_0_8"
12,"Other modes",0.0953341940813035,"No weights",0.0808774942493002,0.111957287221842,"window_0_8"
12.5,"Overall survival",0.37381918463354,"No weights",0.34832399651643,0.399425966709121,"window_0_8"
12.5,"Vaginal delivery",0.522640834305396,"No weights",0.493929274941362,0.547350811772545,"window_0_8"
12.5,"Other modes",0.103539981061064,"No weights",0.0891734720266759,0.120435064979992,"window_0_8"
13,"Overall survival",0.334613757952461,"No weights",0.311574169348055,0.359758595443166,"window_0_8"
13,"Vaginal delivery",0.555463982224438,"No weights",0.526085586535218,0.580414901718046,"window_0_8"
13,"Other modes",0.1099222598231,"No weights",0.0956710756535983,0.126798362355205,"window_0_8"
13.5,"Overall survival",0.301790610033419,"No weights",0.278577151262374,0.327825469921445,"window_0_8"
13.5,"Vaginal delivery",0.580993097272581,"No weights",0.554680103345823,0.605128761675408,"window_0_8"
13.5,"Other modes",0.117216292693999,"No weights",0.101517577713974,0.135225628257462,"window_0_8"
14,"Overall survival",0.275349740876412,"No weights",0.253870611978673,0.300960701521592,"window_0_8"
14,"Vaginal delivery",0.601051687667551,"No weights",0.574469326500017,0.626574398336619,"window_0_8"
14,"Other modes",0.123598571456035,"No weights",0.106564422672154,0.141610198189348,"window_0_8"
14.5,"Overall survival",0.248908871719406,"No weights",0.227432401444043,0.273014286944956,"window_0_8"
14.5,"Vaginal delivery",0.622022032171383,"No weights",0.595404052609896,0.650313504999189,"window_0_8"
14.5,"Other modes",0.129069096109208,"No weights",0.111815228843721,0.146861465431831,"window_0_8"
15,"Overall survival",0.219732740235812,"No weights",0.198616385405347,0.242784362590203,"window_0_8"
15,"Vaginal delivery",0.639345360239766,"No weights",0.612822683592598,0.664420786086212,"window_0_8"
15,"Other modes",0.140921899524418,"No weights",0.123890331406018,0.160899338423813,"window_0_8"
15.5,"Overall survival",0.195115379296531,"No weights",0.174098270890946,0.217919259746706,"window_0_8"
15.5,"Vaginal delivery",0.658492196525874,"No weights",0.633968348045232,0.68315763431909,"window_0_8"
15.5,"Other modes",0.146392424177592,"No weights",0.130815669534323,0.165703816197479,"window_0_8"
